time,open,height,low,close
1990-12-19,96.05,99.98,95.79,99.98
1990-12-20,104.3,104.39,99.98,104.39
1990-12-21,109.07,109.13,103.73,109.13
1990-12-24,113.57,114.55,109.13,114.55
1990-12-25,120.09,120.25,114.55,120.25
1990-12-26,125.27,125.27,120.25,125.27
1990-12-27,125.27,125.28,125.27,125.28
1990-12-28,126.39,126.45,125.28,126.45
1990-12-31,126.56,127.61,126.48,127.61
1991-1-2,127.61,128.84,127.61,128.84
1991-1-3,128.84,130.14,128.84,130.14
1991-1-4,131.27,131.44,130.14,131.44
1991-1-7,131.99,132.06,131.45,132.06
1991-1-8,132.62,132.68,132.06,132.68
1991-1-9,133.3,133.34,132.68,133.34
1991-1-10,133.93,133.97,133.34,133.97
1991-1-11,134.61,134.61,134.51,134.6
1991-1-14,134.11,135.19,134.11,134.67
1991-1-15,134.21,134.74,134.19,134.74
1991-1-16,134.19,134.74,134.14,134.24
1991-1-17,133.67,134.25,133.65,134.25
1991-1-18,133.7,134.25,133.67,134.24
1991-1-21,133.7,134.24,133.66,134.24
1991-1-22,133.72,134.24,133.66,133.72
1991-1-23,133.17,133.72,133.14,133.17
1991-1-24,132.61,133.17,132.57,132.61
1991-1-25,132.05,132.07,132.03,132.05
1991-1-28,131.46,131.55,131.46,131.46
1991-1-29,130.95,130.97,130.95,130.95
1991-1-30,130.44,130.95,130.41,130.44
1991-1-31,129.93,130.46,129.93,129.97
1991-2-1,129.5,129.97,129.45,129.51
1991-2-4,129.05,129.58,129.05,129.05
1991-2-5,128.56,128.58,128.53,128.58
1991-2-6,129.13,129.15,128.06,129.14
1991-2-7,129.74,129.79,129.14,129.79
1991-2-8,130.36,130.39,129.79,130.38
1991-2-11,130.92,130.97,130.39,130.97
1991-2-12,131.54,131.56,130.97,131.35
1991-2-13,131.93,131.93,131.35,131.92
1991-2-14,132.53,132.53,132.3,132.53
1991-2-19,133.12,133.14,133.08,133.13
1991-2-20,133.63,133.67,133.13,133.67
1991-2-21,134.24,134.28,133.67,134.28
1991-2-22,134.85,134.87,134.28,134.87
1991-2-25,134.37,134.87,134.33,134.4
1991-2-26,133.9,134.44,133.9,133.93
1991-2-27,133.44,133.98,133.44,133.47
1991-2-28,132.99,133.52,132.98,133.01
1991-3-1,132.53,132.53,132.47,132.53
1991-3-4,132.09,132.09,131.98,131.99
1991-3-5,131.42,131.99,131.41,131.46
1991-3-6,130.89,130.95,130.89,130.94
1991-3-7,130.41,130.94,130.41,130.41
1991-3-8,129.84,130.41,129.84,129.89
1991-3-11,129.3,129.89,129.3,129.31
1991-3-12,128.73,129.31,128.73,128.77
1991-3-13,126.13,128.77,126.13,126.15
1991-3-14,125.61,126.15,125.61,125.63
1991-3-15,125.08,125.62,125.08,125.17
1991-3-18,124.7,125.17,124.69,124.71
1991-3-19,124.23,124.71,124.22,124.22
1991-3-20,123.66,124.21,123.63,123.66
1991-3-21,123.14,123.66,123.12,123.12
1991-3-22,122.62,123.12,122.62,122.62
1991-3-25,122.12,122.62,122.1,122.12
1991-3-26,121.62,122.14,121.62,121.62
1991-3-27,121.12,121.64,121.12,121.12
1991-3-28,120.65,121.15,120.61,120.61
1991-3-29,120.16,120.61,120.11,120.19
1991-4-1,120.69,120.73,119.68,120.73
1991-4-2,121.21,121.29,120.73,121.21
1991-4-3,121.71,121.71,121.21,121.71
1991-4-4,122.2,122.2,121.24,121.72
1991-4-5,121.07,121.73,121.03,121.54
1991-4-8,121.11,121.11,121.05,121.09
1991-4-9,120.6,121.1,120.6,120.62
1991-4-10,120.15,120.62,120.09,120.16
1991-4-11,119.64,120.16,119.62,119.64
1991-4-12,119.2,119.65,119.15,119.21
1991-4-15,118.73,119.22,118.72,118.77
1991-4-16,118.36,118.77,118.34,118.34
1991-4-17,117.92,118.34,117.89,117.9
1991-4-18,117.45,117.93,117.45,117.45
1991-4-19,117.08,117.5,117.05,117.08
1991-4-22,116.63,117.08,116.58,116.63
1991-4-23,116.21,116.63,116.15,116.19
1991-4-24,115.7,116.19,115.7,115.79
1991-4-25,115.38,115.79,115.33,115.36
1991-4-26,116.31,116.31,114.52,115.56
1991-4-29,114.86,116.29,114.75,114.75
1991-4-30,113.89,114.87,113.89,113.94
1991-5-2,113.04,113.2,113.03,113.16
1991-5-3,112.46,113.17,112.3,112.41
1991-5-6,111.65,112.41,111.57,111.61
1991-5-7,110.8,110.9,110.8,110.82
1991-5-8,110.16,110.82,110,110.03
1991-5-9,109.36,110.12,109.31,109.29
1991-5-10,108.61,109.4,108.53,108.53
1991-5-13,107.88,107.88,107.74,107.84
1991-5-14,107.21,107.84,107.06,107.19
1991-5-15,106.56,106.6,106.42,106.57
1991-5-16,105.83,105.86,105.69,105.77
1991-5-17,105.12,106.75,104.96,106.75
1991-5-20,107.76,107.82,106.71,107.82
1991-5-21,108.89,108.89,108.62,108.81
1991-5-22,109.71,109.82,108.11,108.25
1991-5-23,107.52,109.16,107.35,109.08
1991-5-24,110.07,110.08,109.82,110.08
1991-5-27,111.05,111.07,109.47,110.66
1991-5-28,111.61,111.68,111.36,111.68
1991-5-29,112.75,112.75,111.67,112.75
1991-5-30,113.74,113.82,112.77,113.82
1991-5-31,114.83,114.83,113.84,114.83
1991-6-3,115.9,115.97,114.89,115.97
1991-6-4,117.12,117.12,116.83,117.12
1991-6-5,118.17,118.17,117.14,118.17
1991-6-6,119.26,119.33,118.17,119.35
1991-6-7,120.46,120.47,119.35,120.47
1991-6-10,121.65,121.67,120.47,121.67
1991-6-11,122.89,122.89,121.67,122.89
1991-6-12,123.9,124.11,122.89,124.11
1991-6-13,125.33,125.34,123.65,125.34
1991-6-14,124.47,126.34,124.47,124.53
1991-6-17,125.63,125.77,123.54,125.77
1991-6-18,127.03,127.03,126.67,127.03
1991-6-19,128.12,128.29,127.03,128.29
1991-6-20,129.55,129.57,129.21,129.57
1991-6-21,130.72,130.86,128.81,130.86
1991-6-24,132.1,132.17,131.8,132.17
1991-6-25,133.48,133.49,132.17,133.49
1991-6-26,134.83,134.83,133.49,134.83
1991-6-27,136.04,136.19,134.83,136.19
1991-6-28,137.41,137.56,136.19,137.56
1991-7-1,136.64,138.62,136.56,136.85
1991-7-2,135.91,135.96,135.69,135.96
1991-7-3,135.28,135.96,134.98,135.27
1991-7-4,136.63,136.63,134.19,136.63
1991-7-5,136.01,137.68,135.9,135.96
1991-7-8,135.26,135.28,134.93,135.28
1991-7-9,136.56,136.57,134.31,134.64
1991-7-10,134.4,135.6,133.72,133.99
1991-7-11,133.22,133.99,133.13,133.38
1991-7-12,132.8,133.38,132.42,132.8
1991-7-15,133.9,134.1,131.87,133.14
1991-7-16,134.39,134.47,133.14,134.47
1991-7-17,135.81,135.81,135.39,135.81
1991-7-18,137.17,137.17,135.81,137.17
1991-7-19,137.66,138.54,136.66,136.7
1991-7-22,138.07,138.07,136.7,138.07
1991-7-23,139.35,139.39,138.07,139.39
1991-7-24,140.66,140.74,138.69,140.68
1991-7-25,140.2,141.01,139.99,140.19
1991-7-26,140.11,141.46,139.27,140.66
1991-7-29,141.22,141.72,140.81,141.52
1991-7-30,142.39,142.45,141.39,142.39
1991-7-31,143.72,143.8,142.39,143.8
1991-8-1,145.12,145.24,143.8,145.24
1991-8-2,146.49,146.68,145.44,146.68
1991-8-5,148.06,148.15,146.68,148.15
1991-8-6,149.62,149.62,148.15,149.62
1991-8-7,150.93,151.12,149.62,151.12
1991-8-8,152.57,152.61,151.12,152.61
1991-8-9,153.9,154.1,152.61,154.1
1991-8-12,155.34,155.54,154.1,155.54
1991-8-13,156.87,157.07,155.54,157.07
1991-8-14,158.3,158.63,158.11,158.63
1991-8-15,159.92,160.21,158.63,160.21
1991-8-16,161.56,161.6,160.21,161.6
1991-8-19,163.21,163.21,161.6,163.21
1991-8-20,164.74,164.84,163.21,164.84
1991-8-21,166.49,166.49,164.84,166.49
1991-8-22,167.81,168.16,166.49,168.16
1991-8-23,169.81,169.81,168.16,169.81
1991-8-26,171.51,171.51,169.81,171.51
1991-8-27,173.06,173.19,171.51,173.19
1991-8-28,174.82,174.92,173.19,174.92
1991-8-29,176.53,176.66,174.92,176.66
1991-8-30,178.2,178.43,176.66,178.43
1991-9-2,180.08,180.22,178.43,180.22
1991-9-3,181.71,181.97,180.22,181.97
1991-9-4,183.66,183.69,181.97,183.69
1991-9-5,185.48,185.51,183.69,185.51
1991-9-6,187.09,187.36,185.51,187.36
1991-9-9,189.1,189.24,187.36,189.24
1991-9-10,190.98,190.98,188.19,188.33
1991-9-11,187.29,187.29,186.86,187.22
1991-9-12,186.22,187.4,186.07,186.22
1991-9-13,188,188.04,185.01,187.79
1991-9-16,189.55,189.66,187.79,189.66
1991-9-17,191.16,191.18,188.28,188.65
1991-9-18,187.26,188.59,187.18,187.63
1991-9-19,187.65,189.21,186.49,186.88
1991-9-20,185.77,187.21,185.66,185.92
1991-9-23,185,185.92,184.71,185
1991-9-24,183.96,185.04,183.69,184.08
1991-9-25,182.8,184.08,182.8,183.19
1991-9-26,182.21,183.19,181.93,182.33
1991-9-27,183.12,183.89,181.19,181.82
1991-9-30,180.28,181.95,180.27,180.92
1991-10-3,181.55,182.48,179.8,182.48
1991-10-4,184.29,184.29,183.59,184.29
1991-10-7,185.95,186,185.41,186
1991-10-8,187.59,187.61,186,187.49
1991-10-9,188.49,189.12,186.31,189.12
1991-10-10,190.71,191.01,189.12,191.01
1991-10-11,192.84,192.88,191.01,192.85
1991-10-14,194.06,194.69,192.32,194.67
1991-10-15,196.58,196.61,194.67,196.61
1991-10-16,198.51,198.57,196.61,198.57
1991-10-17,200.5,200.51,198.57,200.51
1991-10-18,202.5,202.51,200.51,202.51
1991-10-21,204.53,204.53,202.51,204.53
1991-10-22,206.06,206.53,204.53,206.53
1991-10-23,208.06,208.25,206.53,208.25
1991-10-24,210.2,210.2,208.25,210.07
1991-10-25,210.34,211.97,209.71,211.86
1991-10-28,213.5,213.98,211.86,213.98
1991-10-29,215.63,215.78,213.98,215.78
1991-10-30,216.37,216.43,215.78,216.43
1991-10-31,218.59,218.6,216.43,218.6
1991-11-1,220.71,220.72,218.6,220.72
1991-11-4,222.77,222.77,220.79,222.77
1991-11-5,224.44,224.65,222.77,224.65
1991-11-6,226.83,226.88,224.65,226.88
1991-11-7,228.93,228.93,226.88,228.93
1991-11-8,230.99,231.22,228.93,231.22
1991-11-11,233.48,233.55,231.22,233.55
1991-11-12,235.75,235.8,233.55,235.8
1991-11-13,236.51,236.67,235.8,236.67
1991-11-14,237.39,237.45,236.67,237.45
1991-11-15,238.25,238.25,237.45,238.25
1991-11-18,240.04,240.62,238.25,240.62
1991-11-19,242.24,242.24,240.62,242.24
1991-11-20,244.5,244.5,242.24,244.5
1991-11-21,246.26,246.31,244.5,246.31
1991-11-22,248.24,248.53,246.31,248.53
1991-11-25,250.84,250.85,248.53,250.85
1991-11-26,252.9,252.97,250.85,252.97
1991-11-27,255.27,255.45,252.97,255.45
1991-11-28,257.28,257.35,255.45,257.35
1991-11-29,259.68,259.85,257.35,259.6
1991-12-2,261.78,262.19,259.67,262.19
1991-12-3,264.64,264.81,262.19,264.81
1991-12-4,265.53,265.77,264.81,265.77
1991-12-5,266.48,266.66,265.77,266.66
1991-12-6,269.34,269.35,266.66,269.35
1991-12-9,270.27,270.27,269.35,270.27
1991-12-10,270.27,272.91,270.27,272.91
1991-12-11,273.53,273.71,272.91,273.71
1991-12-12,274.41,274.41,273.71,274.41
1991-12-13,276.81,277,274.41,277
1991-12-16,277.53,277.85,277,277.85
1991-12-17,278.67,278.68,277.85,278.68
1991-12-18,279.32,279.51,278.68,279.51
1991-12-19,279.98,280.17,279.51,280.17
1991-12-20,282.83,282.83,280.63,282.83
1991-12-23,285.65,285.65,282.83,285.65
1991-12-24,285.74,286.22,285.65,286.22
1991-12-25,287.09,287.15,286.22,287.15
1991-12-26,288.03,288.03,287.15,288.03
1991-12-27,290.65,290.85,288.03,290.85
1991-12-30,291.71,291.71,290.85,291.71
1991-12-31,292.48,292.75,291.71,292.75
1992-1-2,293.74,293.75,292.76,293.75
1992-1-3,296.24,296.52,293.75,296.52
1992-1-6,297.68,297.68,296.52,297.68
1992-1-7,298.54,298.77,297.68,298.77
1992-1-8,299.65,299.66,298.77,299.66
1992-1-9,300.61,300.62,299.66,300.62
1992-1-10,301.82,301.83,300.62,301.83
1992-1-13,302.83,303.06,302,303.06
1992-1-14,304.77,305.74,303.06,305.74
1992-1-15,306.62,306.63,305.74,306.63
1992-1-16,306.85,306.85,306.63,306.85
1992-1-17,307.37,307.38,306.85,307.38
1992-1-20,307.38,307.39,307.38,307.39
1992-1-21,307.87,307.87,307.39,307.87
1992-1-22,307.95,307.95,307.87,307.95
1992-1-23,308.53,308.53,307.95,308.53
1992-1-24,309.05,309.05,308.53,309.05
1992-1-27,311.6,311.61,309.05,311.61
1992-1-28,311.67,311.84,311.61,311.84
1992-1-29,312.41,312.58,311.84,312.42
1992-1-30,312.73,312.73,312.42,312.73
1992-1-31,313.24,313.24,312.73,313.24
1992-2-3,314.18,314.18,313.24,314.18
1992-2-7,314.72,314.72,314.18,314.72
1992-2-10,315.55,315.56,314.72,315.56
1992-2-11,316.12,316.43,315.56,316.43
1992-2-12,316.43,316.44,316.43,316.44
1992-2-13,317.24,317.57,317.06,317.04
1992-2-14,319.45,319.68,317.04,319.68
1992-2-17,319.77,319.77,319.68,319.77
1992-2-18,338.98,339.16,319.77,337.11
1992-2-19,340.5,342.41,337.11,342.41
1992-2-20,345.22,348.01,342.41,347.99
1992-2-21,358.91,359.93,347.99,359.59
1992-2-24,361.11,361.62,359.59,360.5
1992-2-25,359.66,361.29,357.07,360.37
1992-2-26,359.85,360.76,359.27,360.1
1992-2-27,361,363.03,360.1,362.45
1992-2-28,364.15,364.67,362.45,364.66
1992-3-2,365.15,365.39,364.66,365.39
1992-3-3,366.79,367.25,365.39,367
1992-3-4,367.56,368.28,366.95,368.32
1992-3-5,369.31,369.88,368.11,369.76
1992-3-6,370.79,371.76,369.76,371.76
1992-3-9,372.26,374.06,371.88,373.53
